,Description,Year,Variable,variable,value
499,Study,2019,Data Processing and Data Processing Technology/Technician,Alumni,532
500,Study,2019,"Finance, General",Alumni,492
501,Study,2019,Marketing,Alumni,453
502,Study,2019,Project Management,Alumni,428
503,Study,2019,Management Sciences and Quantitative Methods,Alumni,428
504,Study,2019,International Business/Trade/Commerce,Alumni,369
505,Study,2019,International Business,Alumni,339
506,Study,2019,Law,Alumni,245
507,Study,2019,"Business/Commerce, General",Alumni,220
508,Study,2019,International/Global Studies,Alumni,180
509,Study,2019,"Marketing/Marketing Management, General",Alumni,140
510,Study,2020,Accounting and Finance,Alumni,825
511,Study,2020,Economics,Alumni,768
512,Study,2020,"Business Administration and Management, General",Alumni,726
513,Study,2020,Data Processing and Data Processing Technology/Technician,Alumni,527
514,Study,2020,Information Technology,Alumni,388
515,Study,2020,"Finance, General",Alumni,383
516,Study,2020,Project Management,Alumni,357
517,Study,2020,Marketing,Alumni,357
518,Study,2020,Management Sciences and Quantitative Methods,Alumni,323
519,Study,2020,International Business/Trade/Commerce,Alumni,306
520,Study,2020,International Business,Alumni,257
521,Study,2020,Law,Alumni,215
522,Study,2020,"Business/Commerce, General",Alumni,202
523,Study,2020,"Human Resources Management/Personnel Administration, General",Alumni,164
524,Study,2020,International/Global Studies,Alumni,146
525,Study,2021,Accounting and Finance,Alumni,413
526,Study,2021,Economics,Alumni,391
527,Study,2021,"Business Administration and Management, General",Alumni,306
528,Study,2021,"Finance, General",Alumni,236
529,Study,2021,Information Technology,Alumni,218
530,Study,2021,Data Processing and Data Processing Technology/Technician,Alumni,210
531,Study,2021,International Business/Trade/Commerce,Alumni,209
532,Study,2021,Management Sciences and Quantitative Methods,Alumni,192
533,Study,2021,Project Management,Alumni,134
534,Study,2021,Marketing,Alumni,134
535,Study,2021,International Business,Alumni,112
536,Study,2021,Law,Alumni,98
537,Study,2021,International/Global Studies,Alumni,70
538,Study,2021,Accounting,Alumni,65
539,Study,2021,"Business/Commerce, General",Alumni,62
540,Skill,2010,Project Management,Alumni,"2,552"
541,Skill,2010,Management,Alumni,"2,115"
542,Skill,2010,Microsoft Excel,Alumni,"1,680"
543,Skill,2010,Microsoft Office,Alumni,"1,657"
544,Skill,2010,Business Analysis,Alumni,"1,455"
545,Skill,2010,Business Strategy,Alumni,"1,443"
546,Skill,2010,Analytical Skills,Alumni,"1,359"
547,Skill,2010,Financial Analysis,Alumni,"1,264"
548,Skill,2010,Team Management,Alumni,"1,201"
549,Skill,2010,Negotiation,Alumni,"1,103"
550,Skill,2010,Strategy,Alumni,"1,041"
551,Skill,2010,Marketing Strategy,Alumni,976
552,Skill,2010,English,Alumni,970
553,Skill,2010,Marketing,Alumni,945
554,Skill,2010,Data Analysis,Alumni,905
555,Skill,2011,Project Management,Alumni,"2,557"
556,Skill,2011,Microsoft Excel,Alumni,"1,985"
557,Skill,2011,Management,Alumni,"1,919"
558,Skill,2011,Microsoft Office,Alumni,"1,916"
559,Skill,2011,Business Analysis,Alumni,"1,373"
560,Skill,2011,Business Strategy,Alumni,"1,327"
561,Skill,2011,Analytical Skills,Alumni,"1,277"
562,Skill,2011,Financial Analysis,Alumni,"1,183"
563,Skill,2011,Team Management,Alumni,"1,092"
564,Skill,2011,English,Alumni,"1,056"
565,Skill,2011,Data Analysis,Alumni,"1,017"
566,Skill,2011,Negotiation,Alumni,"1,010"
567,Skill,2011,Marketing Strategy,Alumni,955
568,Skill,2011,Marketing,Alumni,897
569,Skill,2011,Strategy,Alumni,886
570,Skill,2012,Project Management,Alumni,"2,715"
571,Skill,2012,Microsoft Office,Alumni,"2,226"
572,Skill,2012,Microsoft Excel,Alumni,"2,222"
573,Skill,2012,Management,Alumni,"1,971"
574,Skill,2012,Business Analysis,Alumni,"1,421"
575,Skill,2012,Business Strategy,Alumni,"1,359"
576,Skill,2012,Analytical Skills,Alumni,"1,333"
577,Skill,2012,Financial Analysis,Alumni,"1,259"
578,Skill,2012,Teamwork,Alumni,"1,214"
579,Skill,2012,Data Analysis,Alumni,"1,209"
580,Skill,2012,English,Alumni,"1,180"
581,Skill,2012,Team Management,Alumni,"1,156"
582,Skill,2012,Negotiation,Alumni,"1,032"
583,Skill,2012,Marketing,Alumni,968
584,Skill,2012,Microsoft PowerPoint,Alumni,961
585,Skill,2013,Project Management,Alumni,"2,708"
586,Skill,2013,Microsoft Office,Alumni,"2,572"
587,Skill,2013,Microsoft Excel,Alumni,"2,532"
588,Skill,2013,Management,Alumni,"1,886"
589,Skill,2013,Teamwork,Alumni,"1,368"
590,Skill,2013,Data Analysis,Alumni,"1,303"
591,Skill,2013,Analytical Skills,Alumni,"1,293"
592,Skill,2013,Business Analysis,Alumni,"1,240"
593,Skill,2013,English,Alumni,"1,234"
594,Skill,2013,Business Strategy,Alumni,"1,197"
595,Skill,2013,Financial Analysis,Alumni,"1,131"
596,Skill,2013,Team Management,Alumni,"1,114"
597,Skill,2013,Microsoft PowerPoint,Alumni,"1,047"
598,Skill,2013,Negotiation,Alumni,993
599,Skill,2013,SQL,Alumni,951
600,Skill,2014,Microsoft Office,Alumni,"2,957"
601,Skill,2014,Microsoft Excel,Alumni,"2,887"
602,Skill,2014,Project Management,Alumni,"2,580"
603,Skill,2014,Management,Alumni,"1,815"
604,Skill,2014,Teamwork,Alumni,"1,692"
605,Skill,2014,English,Alumni,"1,357"
606,Skill,2014,Data Analysis,Alumni,"1,337"
607,Skill,2014,Analytical Skills,Alumni,"1,231"
608,Skill,2014,Microsoft PowerPoint,Alumni,"1,216"
609,Skill,2014,Business Analysis,Alumni,"1,169"
610,Skill,2014,Financial Analysis,Alumni,"1,109"
611,Skill,2014,Business Strategy,Alumni,"1,087"
612,Skill,2014,Customer Service,Alumni,"1,086"
