,Description,Year,Variable,variable,value
566,Skill,2011,Engineering,Alumni,738
567,Skill,2011,Python (Programming Language),Alumni,706
568,Skill,2011,JavaScript,Alumni,705
569,Skill,2011,Data Analysis,Alumni,672
570,Skill,2012,Microsoft Office,Alumni,"2,606"
571,Skill,2012,Project Management,Alumni,"1,818"
572,Skill,2012,Microsoft Excel,Alumni,"1,667"
573,Skill,2012,AutoCAD,Alumni,"1,644"
574,Skill,2012,SQL,Alumni,"1,447"
575,Skill,2012,Java,Alumni,"1,162"
576,Skill,2012,Git,Alumni,"1,050"
577,Skill,2012,Python (Programming Language),Alumni,944
578,Skill,2012,C++,Alumni,912
579,Skill,2012,English,Alumni,910
580,Skill,2012,Teamwork,Alumni,901
581,Skill,2012,Management,Alumni,891
582,Skill,2012,Linux,Alumni,820
583,Skill,2012,JavaScript,Alumni,812
584,Skill,2012,Engineering,Alumni,795
585,Skill,2013,Microsoft Office,Alumni,"2,908"
586,Skill,2013,Microsoft Excel,Alumni,"1,896"
587,Skill,2013,Project Management,Alumni,"1,886"
588,Skill,2013,AutoCAD,Alumni,"1,837"
589,Skill,2013,SQL,Alumni,"1,464"
590,Skill,2013,Java,Alumni,"1,150"
591,Skill,2013,English,Alumni,"1,099"
592,Skill,2013,Git,Alumni,"1,079"
593,Skill,2013,Teamwork,Alumni,"1,060"
594,Skill,2013,Python (Programming Language),Alumni,"1,055"
595,Skill,2013,C++,Alumni,"1,040"
596,Skill,2013,Management,Alumni,980
597,Skill,2013,Microsoft Word,Alumni,971
598,Skill,2013,MATLAB,Alumni,873
599,Skill,2013,Engineering,Alumni,861
600,Skill,2014,Microsoft Office,Alumni,"3,232"
601,Skill,2014,Microsoft Excel,Alumni,"2,012"
602,Skill,2014,AutoCAD,Alumni,"2,002"
603,Skill,2014,Project Management,Alumni,"1,866"
604,Skill,2014,SQL,Alumni,"1,540"
605,Skill,2014,Teamwork,Alumni,"1,199"
606,Skill,2014,English,Alumni,"1,168"
607,Skill,2014,Java,Alumni,"1,137"
608,Skill,2014,Git,Alumni,"1,065"
609,Skill,2014,Python (Programming Language),Alumni,"1,059"
610,Skill,2014,C++,Alumni,"1,054"
611,Skill,2014,Microsoft Word,Alumni,"1,016"
612,Skill,2014,Management,Alumni,"1,009"
613,Skill,2014,MATLAB,Alumni,896
614,Skill,2014,Engineering,Alumni,882
